Materia,Nombre,Creditos,Caracteristicas
DECA-1001,Herramientas vida universitaria,1,NO APLICA
DERE-1300,Constitucion y Democracia,3,NO APLICA
FISI-1502,Intro Física,3,NO APLICA
ISIS-1221,Intro Programacion,3,NO APLICA
LENG-1157,Ingles 7,2,NO APLICA
LITE-1621,Escritura 1,2,NO APLICA
LITE-1622,Escritura 2,2,NO APLICA
MATE-1201,PreCalculo,3,NO APLICA
CBPC-1340,Robots de Hoy,2,CBU
FILO-1124,¿Que es un Fenomeno?,2,NO APLICA (TIPO E?)
GEOC-1002,Geociencias,3,NO APLICA
ISIS-1225,EDA,3,NO APLICA
LENG-1158,Ingles 8,2,NO APLICA
MATE-1203,Calculo Diferencial,3,NO APLICA
QUIM-1101,Quimica General,3,NO APLICA
QUIM-1102,Laboratorio Quimica General,3,NO APLICA
DECA-1101,Practica Social,3,NO APLICA
FISI-1518,Física 1,3,NO APLICA
LENG-1159,Ingles 9,2,NO APLICA
MATE-1102,Matematica Estructural,3,NO APLICA
