Wave,Area,Wavelength_nm,Area_transformed
4348.944,0.091,2299.409,172.555
4351.05,0.064,2298.296,122.032
4356.219,0.009,2295.569,17.329
4356.227,0.009,2295.565,17.194
4357.515,0.003,2294.886,6.166
4362.072,0.003,2292.488,6.095
4366.833,0.068,2289.989,128.753
4367.005,0.004,2289.899,6.919
4375.621,0.003,2285.39,5.956
4375.715,0.003,2285.341,6.008
4378.299,0.004,2283.992,6.981
4380.148,0.095,2283.028,183.093
4380.329,0.068,2282.934,131.291
4380.657,0.003,2282.763,6.563
4384.35,0.003,2280.84,6.295
4384.355,0.003,2280.837,6.294
4384.374,0.004,2280.827,6.737
4384.385,0.018,2280.821,34.011
4391.316,0.003,2277.222,6.511
4393.855,0.056,2275.906,108.532
4394.314,0.099,2275.668,191.034
4394.749,0.004,2275.443,6.951
4400.576,0.003,2272.43,6.033
4404.408,0.07,2270.453,136.519
4407.887,0.066,2268.661,127.887
4408.723,0.003,2268.231,6.083
4415.55,0.085,2264.724,165.616
4420.015,0.074,2262.436,145.446
4421.403,0.105,2261.726,204.785
4422.684,0.036,2261.071,70.151
4512.685,0.092,2215.976,187.04
4535.344,0.003,2204.904,6.746
4535.363,0.003,2204.895,6.985
4535.373,0.003,2204.89,6.844
4549.032,0.003,2198.27,7.024
4813.396,0.097,2077.535,224.594
4815.343,0.004,2076.695,8.261
4817.27,0.004,2075.865,8.532
4819.178,0.004,2075.043,8.7
4824.679,0.003,2072.677,7.571
4854.406,0.004,2059.984,8.794
4866.796,0.097,2054.74,230.494
4868.66,0.091,2053.953,214.607
4872.31,0.101,2052.414,240.059
4874.094,0.088,2051.663,209.699
4877.58,0.093,2050.197,222.412
4879.284,0.08,2049.481,190.196
4880.958,0.063,2048.778,150.041
4881.97,0.004,2048.354,8.926
4883.152,0.131,2047.858,311.345
4884.314,0.094,2047.37,224.033
4885.455,0.085,2046.892,202.49
4894.111,0.076,2043.272,182.312
4895.529,0.003,2042.68,7.807
4896.921,0.082,2042.1,195.826
4898.284,0.083,2041.531,198.191
4899.621,0.003,2040.974,7.998
4900.93,0.092,2040.429,221.61
4902.211,0.081,2039.896,194.626
4903.465,0.003,2039.374,7.378
4905.887,0.114,2038.367,273.695
4925.23,0.078,2030.362,188.112
4927.554,0.101,2029.404,244.725
4929.852,0.004,2028.459,8.912
4932.119,0.004,2027.526,9.107
4939.202,0.11,2024.619,267.598
4939.807,0.094,2024.371,229.901
4941.121,0.079,2023.832,192.289
4941.763,0.003,2023.569,8.215
4943.694,0.118,2022.779,289.542
4944.886,0.004,2022.291,8.904
4945.594,0.133,2022.002,325.479
4946.731,0.004,2021.537,8.847
4947.466,0.004,2021.237,9.013
4948.552,0.143,2020.793,350.961
4950.349,0.004,2020.06,9.023
4952.119,0.146,2019.337,357.551
4952.436,0.003,2019.208,8.188
4953.867,0.004,2018.625,9.111
4954.669,0.004,2018.298,9.118
4956.398,0.004,2017.594,9.022
4958.099,0.004,2016.902,9.112
4959.771,0.112,2016.222,275.327
4961.413,0.12,2015.555,296.613
4962.225,0.058,2015.225,142.115
4964.92,0.003,2014.131,8.402
4965.366,0.003,2013.95,7.811
4965.385,0.003,2013.942,7.724
4966.875,0.003,2013.338,8.077
4966.933,0.003,2013.315,7.631
4968.444,0.004,2012.703,8.778
4968.801,0.11,2012.558,271.33
4969.21,0.004,2012.392,8.849
4970.694,0.004,2011.791,9.126
4972.152,0.004,2011.202,9.054
4972.574,0.065,2011.031,160.088
4973.583,0.004,2010.623,9.15
4974.201,0.004,2010.373,9.187
4974.992,0.004,2010.054,9.235
4975.566,0.123,2009.822,304.034
4975.658,0.003,2009.784,7.465
4976.903,0.146,2009.282,361.86
4977.73,0.004,2008.948,9.151
4978.029,0.074,2008.827,183.06
4978.21,0.004,2008.754,9.162
4979.061,0.004,2008.411,9.158
4979.489,0.004,2008.238,9.138
4979.794,0.003,2008.115,8.48
4980.739,0.004,2007.734,9.135
4981.96,0.004,2007.242,9.233
4986.521,0.004,2005.406,9.193
4988.195,0.004,2004.733,8.729
4990.672,0.003,2003.738,8.171
4996.625,0.003,2001.351,8.626
4998.065,0.047,2000.774,118.645
