indice_peak,lambda (nm),wave (cm-1),EW_nm_fixed,EW_nm_auto
0,406.08601,24625.325063525335,0.2527191849962574,0.006351211799552586
1,406.84198000000004,24579.567723075183,0.28362699870358266,0.012810002701403646
2,408.09899,24503.858732902034,0.23998105725254953,0.009329723900003166
3,408.61573,24472.87088042352,0.14821105554492808,0.023164319138479633
4,408.82476,24460.358027238857,0.1449662845489293,0.006587777812980926
5,409.03712,24447.65893129699,0.1228647254711752,0.00521422333352621
6,411.56059,24297.758927792383,0.159004474829638,0.008756449245207638
7,412.36785000000003,24250.193122475477,0.1722475850083524,0.012812193582977633
8,412.70443,24230.415941985404,0.18065084787808375,0.015251511473152304
9,412.73466,24228.64122921007,0.186106797176021,0.010241024200234395
10,413.58438,24178.862847770022,0.20939785254836368,0.06011432910482753
11,413.81645000000003,24165.303240120105,0.1950951223205628,0.020336881374354
12,414.30314,24136.91578586636,0.20309409543445747,0.010763494105221191
13,414.88386,24103.13093404019,0.2244902228183487,0.021275784897471162
14,415.05351,24093.278960585107,0.19157214905736827,0.04997603287804159
15,415.14194,24088.146815520497,0.20917887612045735,0.04997603287804159
16,415.56701000000004,24063.50783234694,0.22851015092638619,0.06204849180899349
17,415.78434,24050.92986426569,0.2325778407171374,0.044819740713711045
18,415.79708000000005,24050.192945077917,0.23097579304009416,0.044819740713711045
19,415.9965,24038.663786834742,0.213727598175295,0.02264399395261071
20,417.28666999999996,23964.340869072097,0.2539447309153,0.02901888262749618
21,417.6813,23941.699089712656,0.25725399924259035,0.039292170433643116
22,418.29332000000005,23906.66912873483,0.22765061891785962,0.04335511902929727
23,418.82189,23876.497954775,0.24819508346411598,0.1072343482042412
24,418.89756,23872.184884533584,0.2416904316899909,0.1072343482042412
25,419.26117999999997,23851.480835883733,0.23934745292650544,0.04095416683392945
26,419.73907,23824.324955025033,0.25787958977936093,0.0379329876517166
27,420.21078,23797.580823604763,0.2766803841028819,0.09294536802269789
28,420.3937,23787.226116851893,0.26723746269364534,0.09294536802269789
29,420.67233,23771.470778693718,0.23148375637561971,0.012091674443875301
30,420.83123,23762.495003044332,0.19639606173322738,0.0078058609209552925
31,420.97896000000003,23754.156264721638,0.17684830140695443,0.017361019279159184
32,421.48343000000006,23725.725113321772,0.2004696901654677,0.016875671862956534
33,421.73714,23711.452114461626,0.18749973232125697,0.0665003938197587
34,422.15304,23688.091882507822,0.22722419804477234,0.013871525704897608
35,422.34023,23677.592826049273,0.2767338882135644,0.02172208133361603
36,423.39182000000005,23618.78413239065,0.22595497540006212,0.05264564032473045
37,423.47950000000003,23613.893942918134,0.2273631012044318,0.05264564032473045
38,423.92172000000005,23589.260772012338,0.2626903589682581,0.04240664640333007
39,424.00035,23584.886191721303,0.2535575604745978,0.04240664640333007
40,424.10415000000006,23579.113762503854,0.2539652442676784,0.028650669297244302
41,425.95145,23476.85399357133,0.2813656658715361,0.16181622807518808
42,426.01505,23473.349122290398,0.2744232790953275,0.16181622807518808
43,428.36079,23344.807072561427,0.27162825532909746,0.05085444155858733
44,428.93523,23313.543165946056,0.3083468619005018,0.021697165698185406
45,429.2671,23295.51926993706,0.31252733464604077,0.06575347940477759
46,432.79699000000005,23105.521135902538,0.28007655818512583,0.21870058250503666
47,433.82657,23050.685899667234,0.2948995998026162,0.38738351715893027
48,434.49186000000003,23015.390898232246,0.3011804347487866,0.41702843909823695
49,434.77745000000004,23000.272898237934,0.1972989741792776,0.3789803007324503
50,436.91310999999996,22887.846052502297,0.17430279788641279,0.03656954258927026
51,437.47896000000003,22858.24214266213,0.2203179336922032,0.12020711557575645
52,438.91238999999996,22783.59013743039,0.32204507725743475,0.16211221034463796
53,438.96397,22780.91297561392,0.29974900972174656,0.16211221034463796
54,443.1433,22566.06384435915,0.184374165821599,0.036847542242488956
55,443.18580000000003,22563.899836140958,0.17717391910281446,0.036847542242488956
56,443.38124,22553.953793805078,0.17569174316361313,0.005501405152570132
57,443.50272000000007,22547.776031677997,0.179304511436868,0.027303584194872655
58,443.95893,22524.606048582016,0.18823762279973769,0.007047697456269865
59,444.35861000000006,22504.346208122308,0.14943475684902424,0.0731798762726104
60,444.40788000000003,22501.851227300467,0.1607065235893478,0.0731798762726104
61,444.67194,22488.488929614043,0.16333405731820638,0.004197935840471249
62,444.83788000000004,22480.099941129112,0.16216218207654748,0.03636047551803928
63,445.15648000000004,22464.01085748544,0.16690901711597098,0.02503883326192317
64,445.75765,22433.71482239284,0.22687931581878218,0.08680892518288427
65,445.93315000000007,22424.88588255885,0.25245563630656664,0.05523980299861977
66,446.2905,22406.930015315138,0.2144907385718619,0.07155779691741623
67,447.06298,22368.21308711359,0.1631716355469686,0.07119376272713426
68,448.13936000000007,22314.487172026125,0.14747321993015916,0.09585748725259259
69,448.28668,22307.15398458861,0.1364384727406812,0.09585748725259259
70,448.54780000000005,22294.16797942159,0.16082948158450644,0.015071911406616633
71,448.6934100000001,22286.933075304132,0.15483004523974958,0.009319781054377257
72,449.09987,22266.762179200807,0.13717523290653694,0.027959189474776183
73,449.58241,22242.863104897722,0.14175277672128048,0.04462177460207503
74,450.38539000000003,22203.206902426384,0.07798068095511086,0.03259951445965527
75,451.87914,22129.81108178616,0.09705097008701305,0.008527927792364503
76,452.64058000000006,22092.58392166252,0.16230332194637379,0.02102786081943084
77,453.24187000000006,22063.274957364374,0.22505850577365596,0.030089359318120696
78,457.6,21853.146853146853,0.0898563202336581,0.008135593391466573
79,458.8412900000001,21794.028170394165,0.12614276700889362,0.01891665917611765
80,459.94054,21741.940816958646,0.1360674716016305,0.02818434402179154
81,460.42305,21719.155893693853,0.12761045656379288,0.016542051594277508
82,462.05818,21642.296214732094,0.08197312300594681,0.02388498129836223
83,462.6340600000001,21615.356206155677,0.07725538697084829,0.010969918075386637
84,463.14170000000007,21591.66406307184,0.08111138489531022,0.01980243367233566
85,463.71444,21564.995905669875,0.10003419340534692,0.007764489560171761
86,463.8802,21557.290007204447,0.1061632954297001,0.02681395253825383
87,464.47636000000006,21529.621012358948,0.11993020450997838,0.11272204627853874
88,464.87355,21511.226009739636,0.13220686151108815,0.11272204627853874
89,466.87597,21418.9648698347,0.15041798481136276,0.09484710494174609
90,468.01554,21366.811879793564,0.10899950173125388,0.03495429707016775
91,468.16048,21360.196828232918,0.10823844887972604,0.022106839159755063
92,468.48705,21345.30719685848,0.11388447193389423,0.006639563182661762
93,470.85916,21237.773095462348,0.14950477085637823,0.025680945922543903
94,472.98685,21142.23682962856,0.10112910947054728,0.01268005910841721
95,473.03421000000003,21140.120077150445,0.10993428744408588,0.023944512082112356
96,474.71274000000005,21065.371028382342,0.06975219518070645,0.0096047379001518
97,478.07756,20917.10809434352,0.056475943387015934,0.004211385710608597
98,478.81452,20884.913849312674,0.09334064917507373,0.025282285660351008
99,478.91654,20880.464892692995,0.10227023437383095,0.00459150139741506
100,479.09897,20872.5140861814,0.08437057169752343,0.015380569228802779
101,479.96061000000003,20835.043109058468,0.05865413495390267,0.0133430509221572
102,480.19909,20824.69585687886,0.07624266020011067,0.0074597903209137825
103,480.90525,20794.116928438605,0.08208991162255483,0.015582540664084035
104,483.72191000000004,20673.035050241986,0.08124470348593536,0.005145429244600016
105,484.08967000000007,20657.32987031101,0.08422116182259451,0.01928137065744543
106,485.70297000000005,20588.71495062095,0.16405899557918951,0.3571342422845059
107,486.10990000000004,20571.47982380116,0.28637414177573706,0.38371417816291675
108,487.26789,20522.59179237113,0.14961050915029417,0.2633798817387231
109,487.34986000000004,20519.13998703108,0.14922371639723256,0.21402564658587667
110,487.7239400000001,20503.401985967714,0.13198449129088322,0.01531471702127437
111,488.30812,20478.87305253085,0.09356328638873583,0.012348496254361909
112,488.35069000000004,20477.087889442726,0.10280840840195059,0.00811799711249207
113,488.6795,20463.309797116515,0.1125306854869619,0.052481374435919034
114,488.76964,20459.53590734482,0.14217684710202785,0.052481374435919034
115,489.21209,20441.032027642654,0.1319599865091244,0.06463130744837348
116,489.28584,20437.950953168805,0.12283080022056099,0.06463130744837348
117,489.42253000000005,20432.242872023075,0.10800559266660947,0.005909053204823638
118,490.91021,20370.323933576365,0.10254953840036167,0.01062851472980632
119,491.07542000000007,20363.470849345296,0.09608013545757854,0.03526919530526397
120,491.13878000000005,20360.843833182953,0.09001004963308422,0.03526919530526397
121,491.16967999999997,20359.562911130834,0.08734021411457746,0.03526919530526397
122,491.1935900000001,20358.571861656415,0.08741395850774011,0.03526919530526397
123,491.86028,20330.976918892495,0.14052995487474354,0.01065331015353904
124,491.9385500000001,20327.742153974308,0.1464508902412152,0.15210045027201893
125,492.18768,20317.452887077547,0.1683479735109237,0.15210045027201893
126,492.61443,20299.851955209673,0.1323074767649692,0.15210045027201893
127,493.95522000000005,20244.750121276174,0.1336054158038399,0.0766335603563252
128,494.01923,20242.12701193838,0.12117553904779022,0.0766335603563252
129,494.10654000000005,20238.550171790885,0.10031279549959192,0.0766335603563252
130,494.70177000000007,20214.1989506122,0.06193105037347861,0.0095201983872444
131,494.77686000000006,20211.13113495243,0.060268090457687565,0.014173459655304553
132,495.14876000000004,20195.950808803398,0.07315364971736274,0.016695028232009492
133,496.74747,20130.953057496194,0.08187198357616497,0.01718117361218957
134,496.92836,20123.625063379357,0.07897435742168088,0.00874218121508847
135,497.13044,20115.44495243542,0.0872140173954084,0.018713628231375935
136,497.1882800000001,20113.104838271727,0.08443248371373148,0.018713628231375935
137,498.38901,20064.647894222227,0.14897232878186237,0.07712072403635356
138,498.46411,20061.624898129576,0.14406994355583264,0.07712072403635356
139,498.52434000000005,20059.201121453767,0.132053781643579,0.07712072403635356
140,498.66438,20053.56789269769,0.12942316896788636,0.03047328122042493
141,498.69381999999996,20052.384045986375,0.12921866519206346,0.03047328122042493
142,498.76138000000003,20049.667839157875,0.14099857402492824,0.03047328122042493
143,499.0341900000001,20038.70716753896,0.0999389546802713,0.011783098752310314
144,499.26608,20029.39995442911,0.0742458834283586,0.019951112852173058
145,499.55228,20017.924850628246,0.07771100481768163,0.010979836776717307
146,500.05071,19997.971805699468,0.10478318520619535,0.015700346881910823
147,500.32589,19986.97289080923,0.1354227739618088,0.1302731267159139
148,500.41883,19983.26082174006,0.15162723230133973,0.1302731267159139
149,500.54402000000005,19978.262850887717,0.1478844290051311,0.1302731267159139
150,500.71085999999997,19971.60596836266,0.13523747096694247,0.1302731267159139
151,501.63412,19934.848131941264,0.15788216032185812,0.09129797079388335
152,502.36362,19905.900033127396,0.1343537414790342,0.02238907137354308
153,502.45876,19902.1308733875,0.1396406287190621,0.01847938848965436
154,502.91588,19884.041044796595,0.10495015234477788,0.04830458768332116
155,502.95286,19882.579055221995,0.09798196669421022,0.04830458768332116
156,503.10203,19876.68386072702,0.09152290211568621,0.04830458768332116
157,503.21816,19872.096825758435,0.08799610208043045,0.011513797291048228
158,504.31619,19828.83000444622,0.12882158569532653,0.07851668738009114
159,504.56179000000003,19819.178142680998,0.13211758800329743,0.07851668738009114
160,505.60519000000005,19778.277988008784,0.0848993969652283,0.004327777763362048
161,507.01789,19723.169926015824,0.10848526915037005,0.017517941182904662
162,507.40862,19707.98209931869,0.09613674085243694,0.029326798850148574
163,508.03906,19683.525908421292,0.131032703736754,0.06896978390192193
164,508.47555000000006,19666.629005072118,0.13150951384537718,0.03495641780759762
165,509.21929,19637.904919116478,0.060989906786359106,0.012032861168546356
166,510.01192000000003,19607.38486269105,0.10170652426269336,0.04924160307493937
167,510.0498400000001,19605.92713841455,0.10453058681924991,0.04924160307493937
168,510.88707999999997,19573.79701205206,0.10142823328438151,0.061184938484591195
169,511.72037,19541.92286697518,0.05103116621901425,0.012783061649574925
170,512.8788,19497.78388188399,0.12249509370331056,0.04365650009424403
