Distancia,Corriente (A),Voltaje (V)
4,3.92,280
6,2.67,280
8,1.99,280
10,1.58,280
4,3.91,261
6,2.50,261
8,1.88,261
10,1.50,261
4,3.90,250
6,2.44,250
8,1.83,250
10,1.46,250
4,3.80,236
6,2.36,236
8,1.78,236
10,1.42,236
4,3.67,224
6,2.28,224
8,1.72,224
10,1.37,224
4,3.51,205
6,2.16,205
8,1.62,205
10,1.31,205
4,3.39,190
6,2.06,190
8,1.54,190
10,1.24,190
4,3.24,181
6,1.97,181
8,1.49,181
10,1.20,181
4,3.12,170
6,1.97,170
8,1.44,170
10,1.15,170
4,3.00,160
6,1.85,160
8,1.36,160
10,1.09,160
4,2.92,150
6,1.73,150
8,1.27,150
10,1.02,150
4,2.78,140
6,1.60,140
8,1.16,140
10,0.97,140
