x,y
0.4025,0.112562
0.4335,0.1468495
0.4635,0.177237
0.491,0.2040745
0.5165,0.2277995
0.087,0.213362
-0.0945,0.162187
-0.1585,0.111012
-0.2015,0.059837
-0.236,0.009037
-0.2665,-0.0395255
-0.2935,-0.0846505
-0.3175,-0.1266505
-0.3405,-0.165688
-0.3625,-0.201963
-0.383,-0.235563
0.0805,-0.2261005
0.1775,-0.1749005
0.23,-0.1237005
0.2715,-0.0725005
0.308,-0.0232505
0.341,0.022487
0.3725,0.064687
0.405,0.102812
0.4365,0.136837
0.468,0.1668745
0.496,0.193287
-0.04,0.180087
-0.136,0.128912
-0.1865,0.077737
