x,y
0.2595,0.0763755
0.385,0.118638
0.4835,0.148438
0.558,0.1690005
0.6095,0.1831255
0.645,0.192413
0.6695,0.198563
0.686,0.2026755
0.697,0.2054755
0.705,0.207363
0.7095,0.208638
0.713,0.209513
0.7155,0.2100505
0.7165,0.210363
0.5155,0.184863
0.151,0.133688
-0.0345,0.082513
-0.159,0.031338
-0.2825,-0.014237
-0.3875,-0.048612
-0.467,-0.072962
-0.5265,-0.0903745
-0.5685,-0.1024995
-0.6035,-0.1100745
-0.6185,-0.115137
-0.632,-0.118812
-0.6415,-0.121337
-0.648,-0.1228995
-0.652,-0.123812
-0.655,-0.1244495
-0.657,-0.1248245
-0.4755,-0.0993245
-0.112,-0.0481245
0.0655,0.0030755
0.2055,0.0542755
0.339,0.100263
0.448,0.1348505
0.5305,0.158863
0.59,0.175313
0.631,0.1864005
0.6605,0.1939255
0.68,0.199188
0.6925,0.202813
0.7015,0.2052255
0.708,0.2069005
0.712,0.2081505
0.714,0.208938
0.716,0.2094005
0.5365,0.184038
0.1725,0.132863
-0.0215,0.081688
-0.148,0.030513
-0.2735,-0.0158995
-0.379,-0.051437
-0.4615,-0.076562
-0.522,-0.094087
