Distance_(cm),Gray_Value
0.00000,249.000
0.00962,248.000
0.01923,247.000
0.02885,247.000
0.03846,246.000
0.04808,246.000
0.05769,243.000
0.06731,243.000
0.07692,241.000
0.08654,240.000
0.09615,239.000
0.10577,237.000
0.11538,236.000
0.12500,236.000
0.13462,233.000
0.14423,232.500
0.15385,231.500
0.16346,230.000
0.17308,229.000
0.18269,228.000
0.19231,227.000
0.20192,227.000
0.21154,227.000
0.22115,226.000
0.23077,226.000
0.24038,225.000
0.25000,223.000
0.25962,221.000
0.26923,218.000
0.27885,217.000
0.28846,216.500
0.29808,216.000
0.30769,215.000
0.31731,214.000
0.32692,213.000
0.33654,213.000
0.34615,212.000
0.35577,212.000
0.36538,209.500
0.37500,209.000
0.38462,210.000
0.39423,210.000
0.40385,209.000
0.41346,209.000
0.42308,207.500
0.43269,207.000
0.44231,204.000
0.45192,203.000
0.46154,203.000
0.47115,202.000
0.48077,201.000
0.49038,200.000
0.50000,200.000
0.50962,199.000
0.51923,197.000
0.52885,196.000
0.53846,196.000
0.54808,195.000
0.55769,194.000
0.56731,193.000
0.57692,193.000
0.58654,192.000
0.59615,191.000
0.60577,190.000
0.61538,190.000
0.62500,189.000
0.63462,188.000
0.64423,187.000
0.65385,187.000
0.66346,186.000
0.67308,184.500
0.68269,184.500
0.69231,184.000
0.70192,185.000
0.71154,186.000
0.72115,187.000
0.73077,189.500
0.74038,190.500
0.75000,197.000
0.75962,200.000
0.76923,204.500
0.77885,211.000
0.78846,218.000
0.79808,224.500
0.80769,229.000
0.81731,231.000
0.82692,236.500
0.83654,237.000
0.84615,237.000
0.85577,238.000
0.86538,238.000
0.87500,238.000
0.88462,239.000
0.89423,239.000
0.90385,237.000
0.91346,237.000
0.92308,237.000
0.93269,236.000
0.94231,236.000
0.95192,236.000
0.96154,235.000
0.97115,235.000
0.98077,234.000
0.99038,234.000
1.00000,234.000
1.00962,233.000
1.01923,233.000
1.02885,233.000
1.03846,232.000
1.04808,232.000
1.05769,230.000
1.06731,230.000
1.07692,229.000
1.08654,228.000
1.09615,228.000
1.10577,228.000
1.11538,227.000
1.12500,227.000
1.13462,224.000
1.14423,223.000
1.15385,223.000
1.16346,223.000
1.17308,222.000
1.18269,222.000
1.19231,221.000
1.20192,220.000
1.21154,219.000
1.22115,219.000
1.23077,218.000
1.24038,218.000
1.25000,216.000
1.25962,215.000
1.26923,214.000
1.27885,214.000
1.28846,213.000
1.29808,213.000
1.30769,211.000
1.31731,210.000
1.32692,210.000
1.33654,209.000
1.34615,209.000
1.35577,209.000
1.36538,209.000
1.37500,209.000
1.38462,208.000
1.39423,208.000
1.40385,207.000
1.41346,206.000
1.42308,205.500
1.43269,205.000
1.44231,204.000
1.45192,203.000
1.46154,203.000
1.47115,203.000
1.48077,202.000
1.49038,202.000
1.50000,201.000
1.50962,200.000
1.51923,198.000
1.52885,198.000
1.53846,197.000
1.54808,197.000
1.55769,196.000
1.56731,195.000
1.57692,194.000
1.58654,194.000
1.59615,195.000
1.60577,194.000
1.61538,193.500
1.62500,192.500
1.63462,191.000
1.64423,190.000
1.65385,190.000
1.66346,189.000
1.67308,188.000
1.68269,187.000
1.69231,185.000
1.70192,184.000
1.71154,182.000
1.72115,182.000
1.73077,182.000
1.74038,182.000
1.75000,184.000
1.75962,184.000
1.76923,183.500
1.77885,182.500
1.78846,182.000
1.79808,181.000
1.80769,180.500
1.81731,180.000
1.82692,178.000
1.83654,178.000
1.84615,177.000
1.85577,176.000
1.86538,175.000
1.87500,173.500
1.88462,172.500
1.89423,172.000
1.90385,172.500
1.91346,172.000
1.92308,171.500
1.93269,171.500
1.94231,171.000
1.95192,170.500
1.96154,170.500
1.97115,170.000
1.98077,167.000
1.99038,167.000
2.00000,166.000
2.00962,166.000
2.01923,165.000
2.02885,164.000
2.03846,163.000
2.04808,163.000
2.05769,162.000
2.06731,162.000
2.07692,161.500
2.08654,161.000
2.09615,160.000
2.10577,160.000
2.11538,159.000
2.12500,159.000
2.13462,157.500
2.14423,155.500
2.15385,152.500
2.16346,151.000
2.17308,151.000
2.18269,150.500
2.19231,149.500
2.20192,148.500
2.21154,151.500
2.22115,151.000
2.23077,151.000
2.24038,150.500
2.25000,150.000
2.25962,150.000
2.26923,149.500
2.27885,149.500
2.28846,148.000
2.29808,147.000
2.30769,146.000
2.31731,145.000
2.32692,143.500
2.33654,142.000
2.34615,141.000
2.35577,140.500
2.36538,142.000
2.37500,142.000
2.38462,141.000
2.39423,141.000
2.40385,140.000
2.41346,139.000
2.42308,138.000
2.43269,138.000
2.44231,136.000
2.45192,137.000
2.46154,136.000
2.47115,136.000
2.48077,135.000
2.49038,133.000
2.50000,130.000
2.50962,129.000
2.51923,130.000
2.52885,130.500
2.53846,131.000
2.54808,131.000
2.55769,130.500
2.56731,129.500
2.57692,128.500
2.58654,128.000
2.59615,126.000
2.60577,126.000
2.61538,126.000
2.62500,126.000
2.63462,126.000
2.64423,126.000
2.65385,126.000
2.66346,126.000
2.67308,124.000
2.68269,124.000
2.69231,124.000
2.70192,124.000
2.71154,124.000
2.72115,124.000
2.73077,123.000
2.74038,123.000
2.75000,123.000
2.75962,123.000
2.76923,122.000
2.77885,122.000
2.78846,121.000
2.79808,120.000
2.80769,119.000
2.81731,119.000
2.82692,117.000
2.83654,117.000
2.84615,117.000
2.85577,117.000
2.86538,117.000
2.87500,117.000
2.88462,117.000
2.89423,117.000
2.90385,114.500
2.91346,115.000
2.92308,116.000
2.93269,117.000
2.94231,117.000
2.95192,117.000
2.96154,116.000
2.97115,115.500
2.98077,112.000
2.99038,112.000
3.00000,112.000
3.00962,112.000
3.01923,112.000
3.02885,112.000
3.03846,112.000
3.04808,112.000
3.05769,110.000
3.06731,110.000
3.07692,110.000
3.08654,109.000
3.09615,109.000
3.10577,109.000
3.11538,109.000
3.12500,109.000
3.13462,109.000
3.14423,109.000
3.15385,108.000
3.16346,107.000
3.17308,107.000
3.18269,106.000
3.19231,105.000
3.20192,105.000
3.21154,105.000
3.22115,105.000
3.23077,104.500
3.24038,104.500
3.25000,104.000
3.25962,103.500
3.26923,103.000
3.27885,103.000
3.28846,103.000
3.29808,102.500
3.30769,102.500
3.31731,102.000
3.32692,101.500
3.33654,101.500
3.34615,102.000
3.35577,101.500
3.36538,102.000
3.37500,102.000
3.38462,101.000
3.39423,100.500
3.40385,99.500
3.41346,99.000
3.42308,98.000
3.43269,98.000
3.44231,99.000
3.45192,99.000
3.46154,99.000
3.47115,98.000
3.48077,98.000
3.49038,98.000
3.50000,97.000
3.50962,97.000
3.51923,95.000
3.52885,95.000
3.53846,94.000
3.54808,93.000
3.55769,92.000
3.56731,90.000
3.57692,90.000
3.58654,89.000
3.59615,86.000
3.60577,86.000
3.61538,86.000
3.62500,85.000
3.63462,83.000
3.64423,80.500
3.65385,79.000
3.66346,77.500
3.67308,78.000
3.68269,78.000
3.69231,76.500
3.70192,76.000
3.71154,75.000
3.72115,75.000
3.73077,74.000
3.74038,74.000
3.75000,72.500
3.75962,70.500
3.76923,71.500
3.77885,78.000
3.78846,81.500
3.79808,81.000
3.80769,81.000
3.81731,82.000
3.82692,85.000
3.83654,85.000
3.84615,84.500
3.85577,84.500
3.86538,85.500
3.87500,87.000
3.88462,88.000
3.89423,89.500
3.90385,90.000
3.91346,91.000
3.92308,92.000
3.93269,92.000
3.94231,91.000
3.95192,90.500
3.96154,92.000
3.97115,93.500
3.98077,92.000
3.99038,92.500
4.00000,92.500
4.00962,94.000
4.01923,94.000
4.02885,95.000
4.03846,95.000
4.04808,95.500
4.05769,96.500
4.06731,98.000
4.07692,99.000
4.08654,99.000
4.09615,98.000
4.10577,98.000
4.11538,99.500
4.12500,101.000
4.13462,99.000
4.14423,100.000
4.15385,101.000
4.16346,102.000
4.17308,103.000
4.18269,102.000
4.19231,102.000
4.20192,101.500
4.21154,106.000
4.22115,103.000
4.23077,103.500
4.24038,107.000
4.25000,107.000
4.25962,105.500
4.26923,105.500
4.27885,108.500
4.28846,109.000
4.29808,87.000
4.30769,78.500
4.31731,98.000
4.32692,124.000
4.33654,138.000
4.34615,147.500
4.35577,155.000
4.36538,159.000
4.37500,163.000
4.38462,156.000
4.39423,148.000
4.40385,138.500
4.41346,112.000
4.42308,96.500
4.43269,109.000
4.44231,123.000
4.45192,122.500
4.46154,122.500
4.47115,121.500
4.48077,121.500
4.49038,121.000
4.50000,121.000
4.50962,119.500
4.51923,119.000
4.52885,119.000
4.53846,117.500
4.54808,117.000
4.55769,118.000
4.56731,119.500
4.57692,122.000
4.58654,123.000
4.59615,114.500
4.60577,108.500
4.61538,102.000
4.62500,97.000
4.63462,98.000
4.64423,103.000
4.65385,108.500
4.66346,113.500
4.67308,124.500
4.68269,129.500
4.69231,132.500
4.70192,131.500
4.71154,131.000
4.72115,131.000
4.73077,130.000
4.74038,127.000
4.75000,127.000
4.75962,126.500
4.76923,125.500
4.77885,128.500
4.78846,132.000
4.79808,134.500
4.80769,137.000
4.81731,138.500
4.82692,154.000
4.83654,173.000
4.84615,180.000
4.85577,182.000
4.86538,187.000
4.87500,187.500
4.88462,180.500
4.89423,177.000
4.90385,175.500
4.91346,185.000
4.92308,196.500
4.93269,203.500
4.94231,203.000
4.95192,202.000
4.96154,200.000
4.97115,201.500
4.98077,201.500
4.99038,200.000
5.00000,198.000
5.00962,202.500
5.01923,198.500
5.02885,172.500
5.03846,148.000
5.04808,143.500
5.05769,148.000
5.06731,142.000
5.07692,133.500
5.08654,127.000
5.09615,120.500
5.10577,117.500
5.11538,116.500
5.12500,115.500
5.13462,113.500
5.14423,113.000
5.15385,112.500
5.16346,111.000
5.17308,110.500
5.18269,109.500
5.19231,108.500
5.20192,108.000
5.21154,107.500
5.22115,107.500
5.23077,107.500
5.24038,107.500
5.25000,107.500
5.25962,107.500
5.26923,107.500
5.27885,107.500
5.28846,105.000
5.29808,104.000
5.30769,103.500
5.31731,103.500
5.32692,102.000
5.33654,101.000
5.34615,100.000
5.35577,99.500
5.36538,98.000
5.37500,98.500
5.38462,98.500
5.39423,99.000
5.40385,99.000
5.41346,100.000
5.42308,99.500
5.43269,100.500
5.44231,104.000
5.45192,103.500
5.46154,102.500
5.47115,102.000
5.48077,101.000
5.49038,99.500
5.50000,98.000
5.50962,97.500
5.51923,99.000
5.52885,99.500
5.53846,99.500
5.54808,99.500
5.55769,99.500
5.56731,99.500
5.57692,99.000
5.58654,99.500
5.59615,102.000
5.60577,103.000
5.61538,104.000
5.62500,103.500
5.63462,101.500
5.64423,97.500
5.65385,93.500
5.66346,91.000
5.67308,93.000
5.68269,94.000
5.69231,94.500
5.70192,92.500
5.71154,92.500
5.72115,95.000
5.73077,102.000
5.74038,107.500
5.75000,114.500
5.75962,113.500
5.76923,117.500
5.77885,128.500
5.78846,139.000
5.79808,146.000
5.80769,154.000
5.81731,161.500
5.82692,173.000
5.83654,184.000
5.84615,193.000
5.85577,209.000
5.86538,234.500
5.87500,249.000
5.88462,252.500
5.89423,254.000
5.90385,254.000
5.91346,254.000
5.92308,253.000
5.93269,254.000
5.94231,254.000
5.95192,254.000
5.96154,254.500
5.97115,255.000
5.98077,255.000
5.99038,253.000
6.00000,248.500
6.00962,235.000
6.01923,224.000
6.02885,217.500
6.03846,206.500
6.04808,195.000
6.05769,186.000
6.06731,177.000
6.07692,160.000
6.08654,139.000
6.09615,122.500
6.10577,112.000
6.11538,101.500
6.12500,93.500
6.13462,91.000
6.14423,90.000
6.15385,87.500
6.16346,84.500
6.17308,83.000
6.18269,81.000
6.19231,80.000
6.20192,80.000
6.21154,82.500
