Distance_(cm),Gray_Value
0.00000,139.000
0.00935,141.000
0.01869,134.333
0.02804,128.000
0.03738,129.000
0.04673,122.667
0.05607,120.333
0.06542,116.667
0.07477,114.000
0.08411,115.000
0.09346,116.667
0.10280,118.333
0.11215,120.000
0.12150,117.333
0.13084,116.667
0.14019,115.667
0.14953,114.667
0.15888,114.000
0.16822,114.333
0.17757,114.667
0.18692,115.333
0.19626,113.333
0.20561,112.000
0.21495,111.000
0.22430,111.667
0.23364,112.667
0.24299,113.333
0.25234,112.667
0.26168,111.333
0.27103,110.000
0.28037,111.000
0.28972,111.333
0.29907,112.000
0.30841,112.000
0.31776,111.333
0.32710,111.000
0.33645,110.000
0.34579,113.000
0.35514,112.333
0.36449,111.000
0.37383,110.000
0.38318,108.333
0.39252,107.667
0.40187,107.000
0.41121,107.000
0.42056,106.667
0.42991,106.667
0.43925,106.667
0.44860,106.000
0.45794,105.333
0.46729,105.000
0.47664,104.667
0.48598,104.333
0.49533,104.667
0.50467,104.333
0.51402,103.667
0.52336,102.667
0.53271,102.333
0.54206,101.333
0.55140,101.667
0.56075,101.333
0.57009,100.333
0.57944,99.667
0.58879,99.667
0.59813,99.333
0.60748,98.667
0.61682,98.333
0.62617,98.333
0.63551,98.000
0.64486,97.000
0.65421,97.000
0.66355,96.000
0.67290,95.000
0.68224,95.000
0.69159,95.000
0.70093,94.000
0.71028,94.000
0.71963,94.333
0.72897,95.000
0.73832,94.000
0.74766,93.000
0.75701,93.000
0.76636,92.000
0.77570,91.000
0.78505,91.000
0.79439,90.000
0.80374,90.000
0.81308,89.000
0.82243,88.333
0.83178,88.000
0.84112,87.667
0.85047,87.333
0.85981,87.000
0.86916,87.000
0.87850,86.000
0.88785,87.000
0.89720,88.000
0.90654,89.000
0.91589,92.000
0.92523,92.000
0.93458,92.000
0.94393,97.333
0.95327,97.000
0.96262,99.000
0.97196,99.000
0.98131,97.667
0.99065,96.667
1.00000,96.667
1.00935,97.333
1.01869,95.667
1.02804,96.333
1.03738,96.667
1.04673,97.000
1.05607,96.000
1.06542,95.000
1.07477,94.000
1.08411,93.333
1.09346,93.333
1.10280,93.333
1.11215,93.333
1.12150,93.333
1.13084,93.333
1.14019,93.333
1.14953,93.333
1.15888,93.333
1.16822,94.000
1.17757,94.000
1.18692,95.000
1.19626,96.000
1.20561,97.000
1.21495,96.000
1.22430,95.000
1.23364,95.000
1.24299,95.000
1.25234,95.000
1.26168,95.000
1.27103,94.000
1.28037,94.000
1.28972,93.000
1.29907,93.000
1.30841,94.000
1.31776,91.333
1.32710,91.333
1.33645,91.000
1.34579,90.667
1.35514,90.000
1.36449,90.000
1.37383,89.333
1.38318,89.333
1.39252,89.000
1.40187,89.000
1.41121,90.000
1.42056,89.333
1.42991,89.000
1.43925,88.667
1.44860,88.333
1.45794,88.000
1.46729,89.000
1.47664,89.000
1.48598,89.000
1.49533,88.000
1.50467,87.000
1.51402,86.000
1.52336,86.000
1.53271,86.000
1.54206,86.000
1.55140,86.000
1.56075,86.000
1.57009,85.000
1.57944,84.667
1.58879,84.333
1.59813,83.667
1.60748,84.333
1.61682,81.333
1.62617,81.667
1.63551,83.333
1.64486,83.667
1.65421,84.000
1.66355,85.000
1.67290,85.000
1.68224,85.000
1.69159,82.000
1.70093,82.000
1.71028,82.000
1.71963,82.000
1.72897,82.000
1.73832,82.000
1.74766,82.000
1.75701,82.000
1.76636,81.000
1.77570,81.000
1.78505,80.000
1.79439,79.000
1.80374,79.000
1.81308,78.000
1.82243,77.000
1.83178,77.000
1.84112,77.000
1.85047,77.333
1.85981,77.667
1.86916,78.000
1.87850,77.333
1.88785,76.000
1.89720,75.000
1.90654,74.000
1.91589,75.000
1.92523,75.000
1.93458,76.000
1.94393,75.000
1.95327,75.000
1.96262,74.000
1.97196,74.000
1.98131,74.000
1.99065,74.000
2.00000,74.000
2.00935,73.000
2.01869,73.000
2.02804,73.000
2.03738,72.000
2.04673,73.000
2.05607,72.000
2.06542,69.000
2.07477,69.000
2.08411,70.000
2.09346,69.333
2.10280,69.000
2.11215,68.667
2.12150,68.333
2.13084,68.000
2.14019,69.000
2.14953,69.000
2.15888,68.000
2.16822,68.000
2.17757,67.000
2.18692,66.000
2.19626,65.000
2.20561,65.000
2.21495,66.000
2.22430,66.000
2.23364,66.000
2.24299,65.000
2.25234,65.000
2.26168,65.000
2.27103,64.000
2.28037,64.000
2.28972,64.000
2.29907,64.000
2.30841,65.000
2.31776,64.000
2.32710,63.000
2.33645,62.000
2.34579,62.000
2.35514,63.000
2.36449,62.000
2.37383,62.333
2.38318,61.667
2.39252,61.333
2.40187,61.000
2.41122,60.333
2.42056,59.667
2.42991,60.000
2.43925,60.333
2.44860,60.000
2.45794,60.000
2.46729,59.667
2.47664,59.000
2.48598,58.667
2.49533,58.667
2.50467,58.333
2.51402,58.667
2.52336,58.667
2.53271,58.000
2.54206,59.000
2.55140,58.333
2.56075,58.000
2.57009,57.667
2.57944,57.667
2.58878,56.667
2.59813,56.667
2.60748,56.000
2.61682,56.000
2.62617,55.333
2.63551,55.000
2.64486,55.667
2.65421,55.667
2.66355,54.000
2.67290,54.000
2.68224,52.000
2.69159,51.000
2.70093,51.000
2.71028,50.000
2.71963,50.000
2.72897,50.000
2.73832,50.000
2.74766,50.000
2.75701,51.000
2.76636,50.000
2.77570,50.000
2.78505,49.000
2.79439,48.000
2.80374,48.000
2.81308,49.000
2.82243,49.000
2.83178,49.000
2.84112,49.000
2.85047,49.000
2.85981,49.000
2.86916,49.000
2.87850,49.000
2.88785,48.000
2.89720,48.000
2.90654,49.000
2.91589,48.000
2.92523,47.000
2.93458,46.000
2.94393,46.000
2.95327,46.000
2.96262,46.000
2.97196,46.000
2.98131,45.333
2.99065,45.000
3.00000,45.000
3.00935,44.333
3.01869,44.000
3.02804,44.000
3.03738,42.667
3.04673,42.667
3.05607,42.667
3.06542,42.667
3.07477,42.667
3.08411,42.667
3.09346,42.667
3.10280,42.667
3.11215,43.000
3.12150,43.000
3.13084,43.000
3.14019,43.000
3.14953,43.000
3.15888,43.000
3.16822,43.000
3.17757,43.000
3.18692,41.333
3.19626,41.333
3.20561,41.333
3.21495,41.333
3.22430,41.333
3.23364,41.333
3.24299,41.333
3.25234,41.333
3.26168,40.667
3.27103,40.667
3.28037,40.667
3.28972,40.667
3.29907,40.667
3.30841,40.667
3.31776,40.667
3.32710,40.667
3.33645,41.000
3.34579,41.000
