Pixel,Brillo
0,2098
1,2084
2,2104
3,2145
4,2099
5,2054
6,2099
7,2073
8,2099
9,2073
10,2096
11,2126
12,2100
13,2089
14,2119
15,2077
16,2126
17,2093
18,2112
19,2107
20,2153
21,2082
22,2168
23,2123
24,2132
25,2086
26,2176
27,2137
28,2159
29,2211
30,2210
31,2267
32,2266
33,2346
34,2396
35,2598
36,2986
37,3280
38,3692
39,4659
40,5456
41,6140
42,6473
43,5679
44,4122
45,2991
46,2451
47,2193
48,2148
49,2114
50,2124
51,2090
52,2084
53,2081
54,2060
55,2111
56,2090
57,2089
58,2069
59,2085
60,2077
61,2076
62,2097
63,2091
64,2067
65,2118
66,2083
67,2107
68,2097
69,2076
70,2098
71,2068
72,2106
73,2065
74,2065
75,2072
76,2073
77,2080
78,2074
79,2112
80,2095
81,2094
82,2077
83,2072
84,2081
85,2071
86,2098
87,2098
88,2077
89,2097
90,2094
91,2106
92,2104
93,2076
94,2077
95,2080
96,2102
97,2073
98,2057
99,2070
100,2091
101,2122
102,2104
103,2069
104,2102
105,2076
106,2106
107,2071
108,2123
109,2094
110,2091
111,2078
112,2081
113,2084
114,2076
115,2105
116,2072
117,2099
118,2033
119,2077
120,2096
121,2117
122,2075
123,2094
124,2091
125,2079
126,2065
127,2083
128,2122
129,2126
130,2102
131,2065
132,2081
133,2064
134,2046
135,2076
136,2073
137,2073
138,2125
139,2096
140,2085
141,2072
142,2104
143,2113
144,2087
145,2091
146,2091
147,2101
148,2070
149,2089
150,2084
151,2114
152,2066
153,2094
154,2098
155,2053
156,2078
157,2108
158,2074
159,2088
160,2072
161,2074
162,2085
163,2104
164,2087
165,2065
166,2095
167,2122
168,2081
169,2095
170,2058
171,2104
172,2090
173,2075
174,2129
175,2092
176,2121
177,2104
178,2072
179,2095
180,2063
181,2104
182,2069
183,2101
184,2073
185,2088
186,2111
187,2108
188,2114
189,2062
190,2091
191,2049
192,2083
193,2068
194,2078
195,2092
196,2060
197,2091
198,2075
199,2108
200,2073
201,2067
202,2086
203,2087
204,2083
205,2095
206,2094
207,2094
208,2091
209,2098
210,2091
211,2074
212,2102
213,2072
214,2094
215,2078
216,2088
217,2072
218,2097
219,2112
220,2116
221,2051
222,2095
223,2081
224,2091
225,2087
226,2101
227,2070
228,2090
229,2068
230,2141
231,2093
232,2100
233,2080
234,2091
235,2074
236,2141
237,2065
238,2107
239,2113
240,2086
241,2055
242,2085
243,2099
244,2086
245,2062
246,2097
247,2093
248,2065
249,2076
250,2122
251,2060
252,2116
253,2106
254,2089
255,2102
256,2099
257,2083
258,2072
259,2087
260,2066
261,2093
262,2090
263,2089
264,2109
265,2110
266,2066
267,2110
268,2075
269,2132
270,2056
271,2110
272,2092
273,2102
274,2107
275,2103
276,2088
277,2107
278,2090
279,2087
280,2093
281,2077
282,2104
283,2094
284,2062
285,2074
286,2069
287,2143
288,2074
289,2076
290,2096
291,2111
292,2101
293,2076
294,2103
295,2075
296,2098
297,2068
298,2097
299,2089
300,2070
301,2130
302,2079
303,2094
304,2078
305,2076
306,2082
307,2107
308,2062
309,2114
310,2081
311,2108
312,2116
313,2092
314,2094
315,2117
316,2097
317,2075
318,2117
319,2104
320,2079
321,2064
322,2101
323,2076
324,2075
325,2059
326,2039
327,2100
328,2097
329,2092
330,2077
331,2085
332,2089
333,2071
334,2069
335,2115
336,2073
337,2092
338,2117
339,2103
340,2091
341,2072
342,2095
343,2109
344,2072
345,2033
346,2083
347,2079
348,2080
349,2091
350,2126
351,2055
352,2087
353,2059
354,2065
355,2136
356,2081
357,2075
358,2107
359,2076
360,2047
361,2059
