Pixel,Brillo
0,1052
1,1047
2,1033
3,1047
4,1062
5,1030
6,1040
7,1033
8,1036
9,1029
10,1031
11,1036
12,1027
13,1018
14,1049
15,1028
16,1054
17,1056
18,1013
19,1037
20,1058
21,1045
22,1058
23,1033
24,1029
25,1035
26,1029
27,1043
28,1063
29,1035
30,1042
31,1065
32,1054
33,1080
34,1046
35,1041
36,1045
37,1067
38,1068
39,1053
40,1085
41,1047
42,1066
43,1096
44,1087
45,1111
46,1168
47,1221
48,1356
49,1410
50,1528
51,1598
52,1621
53,1510
54,1421
55,1534
56,1603
57,1595
58,1557
59,1417
60,1317
61,1216
62,1126
63,1091
64,1087
65,1053
66,1080
67,1061
68,1044
69,1038
70,1047
71,1046
72,1049
73,1026
74,1031
75,1062
76,1059
77,1055
78,1037
79,1054
80,1011
81,1034
82,1034
83,1037
84,1055
85,1054
86,1055
87,1055
88,1027
89,1050
90,1053
91,1054
92,1062
93,1050
94,1047
95,1025
96,1045
97,1063
98,1037
99,1028
100,1047
101,1053
102,1036
103,1051
104,1052
105,1058
106,1025
107,1048
108,1010
109,1032
110,1053
111,1049
112,1030
113,1041
114,1044
115,1027
116,1037
117,1039
118,1043
119,1020
120,1068
121,1049
122,1052
123,1044
124,1040
125,1036
126,1053
127,1018
128,1014
129,1008
130,1060
131,1033
132,1053
133,1039
134,1066
135,1044
136,1053
137,1029
138,1032
139,1059
140,1048
141,1049
142,1035
143,1066
144,1060
145,1052
146,1049
147,1052
148,1041
149,1010
150,1054
151,1025
152,1050
153,1051
154,1017
155,1055
156,1023
157,1033
158,1034
159,1043
160,1052
161,1046
162,1057
163,1041
164,1028
165,1026
166,1009
167,1031
168,1043
169,1020
170,1041
171,991
172,1030
173,1048
174,1008
175,1057
176,1040
177,1045
178,1052
179,1044
180,1041
181,1040
182,1037
183,1040
184,1046
185,1041
186,1062
187,1067
188,1032
189,1047
190,1045
191,1065
192,1078
193,1024
194,1026
195,1029
196,1035
197,1063
198,1048
199,1041
200,1037
201,1064
202,1060
203,1040
204,1045
205,1029
206,1050
207,1048
208,1042
209,1029
210,1049
211,1045
212,1034
213,1025
214,1053
215,1057
216,1047
217,1035
218,1055
219,1065
220,1029
221,1018
222,1034
223,1024
224,1053
225,1041
226,1061
227,1045
228,1050
229,1021
230,1019
231,1051
232,1041
233,1063
234,1027
235,1040
236,1048
237,1039
238,1054
239,1038
240,1050
241,1034
242,1042
243,1025
244,1063
245,1029
246,1031
247,1019
248,1044
249,1042
250,1015
251,1048
252,1035
253,1032
254,1039
255,1034
256,1032
257,1042
258,1056
259,1024
260,1043
261,1040
262,1045
263,1092
264,1034
265,1028
266,1058
267,1039
268,1044
269,1049
270,1018
271,1041
272,1034
273,1044
274,1041
275,1043
276,1039
277,1037
278,1040
279,1029
280,1034
281,1048
282,1005
283,1032
284,1001
285,1031
286,1054
287,1049
288,1026
289,1029
290,1028
291,1031
292,1029
293,1033
294,1043
295,1038
296,1040
297,1049
298,1051
299,1056
300,1043
301,1054
302,1031
303,1020
304,1048
305,1062
306,1033
307,1046
308,1038
309,1020
310,1037
311,1043
312,1045
313,1069
314,1036
315,1041
316,1048
317,1035
318,1057
319,1038
320,1049
321,1024
322,1046
323,1037
324,1035
325,1039
326,1034
327,1033
328,1045
329,1066
330,1008
331,1021
332,1031
333,1045
334,1029
335,1040
336,1039
337,1048
338,1049
339,1043
340,1040
341,1046
342,1034
343,1057
344,1056
345,1036
346,1047
347,1033
348,1039
349,1058
350,1022
351,1036
352,1049
353,1044
354,1029
355,1049
356,1040
357,1043
358,1054
359,1025
360,1025
361,1052
362,1048
363,1055
364,1045
365,1001
366,1046
367,1026
368,1054
369,1045
370,1039
371,1049
372,1043
373,1019
374,1039
375,1054
376,1041
377,1020
378,1048
379,1038
380,1047
381,1041
382,1046
383,1038
384,1021
385,1046
386,1057
387,1049
388,1033
389,1051
390,1023
391,1027
392,1017
393,1043
394,1038
395,1032
396,1022
397,1037
398,1054
399,1043
400,1054
401,1031
402,1059
403,1025
404,1052
405,1045
406,1032
407,1024
408,1035
409,1040
410,1059
411,1022
412,1062
413,1030
414,1042
415,1052
416,1033
417,1053
418,1037
419,1063
420,1038
421,1053
422,1059
423,1045
424,1076
425,1047
426,1047
427,1046
428,1037
429,1052
430,1042
431,1036
432,1027
433,1001
434,1058
435,1029
436,1064
437,1042
438,1055
439,1031
440,1017
441,1050
442,1035
443,1048
444,1036
445,1083
446,1025
447,1060
448,1034
449,1038
450,1050
451,1043
452,1064
453,1041
454,1067
455,1043
456,1030
457,1030
458,1049
459,1052
460,1026
461,1079
462,1051
463,1053
464,1044
465,1045
466,1038
467,1048
468,1057
469,1036
470,1065
471,1059
472,1010
473,1029
474,1058
475,1027
476,1056
477,1071
478,1047
479,1033
480,1046
481,1038
482,1048
483,1042
484,1067
485,1051
486,1031
487,1026
488,1031
489,1036
490,1040
491,1066
492,1077
493,1014
494,1070
495,1040
496,1048
497,1044
498,1039
499,1035
500,1036
501,1048
502,1038
503,1026
504,1048
505,1050
506,1052
507,1045
508,1065
509,1022
510,1045
511,1052
512,1033
513,1055
514,1047
515,1061
516,1062
517,1027
518,1046
519,1038
520,1059
521,1067
522,1040
523,1019
524,1061
525,1030
526,1032
527,1036
528,1030
529,1041
530,1067
531,1030
532,1040
533,1049
534,1023
535,1042
536,1047
537,1044
538,1057
539,1052
540,1027
541,1044
542,1032
543,1029
544,1034
545,1048
546,1058
547,1050
548,1043
549,1037
550,1048
551,1037
552,1043
553,1036
554,1029
555,1042
556,1033
557,1050
558,1030
559,1035
560,1059
561,1035
562,1031
563,1049
564,1032
565,1042
566,1066
567,1040
568,1035
