Pixel,Brillo
0,1088
1,1049
2,1080
3,1088
4,1085
5,1091
6,1086
7,1095
8,1099
9,1094
10,1093
11,1118
12,1077
13,1089
14,1110
15,1138
16,1108
17,1136
18,1130
19,1134
20,1142
21,1133
22,1183
23,1150
24,1166
25,1162
26,1174
27,1185
28,1208
29,1236
30,1234
31,1262
32,1248
33,1263
34,1277
35,1318
36,1346
37,1353
38,1427
39,1496
40,1502
41,1548
42,1620
43,1697
44,1755
45,1818
46,1977
47,2111
48,2278
49,2509
50,2800
51,3080
52,3505
53,4196
54,4918
55,5907
56,7233
57,8824
58,10583
59,12490
60,13875
61,14892
62,15933
63,16593
64,17394
65,17477
66,17201
67,16972
68,16890
69,15886
70,14270
71,12766
72,11309
73,9588
74,7630
75,6062
76,4984
77,4116
78,3503
79,3120
80,2798
81,2553
82,2333
83,2257
84,2073
85,1996
86,1888
87,1870
88,1770
89,1696
90,1693
91,1605
92,1572
93,1574
94,1529
95,1468
96,1474
97,1433
98,1410
99,1400
100,1359
101,1342
102,1356
103,1308
104,1307
105,1313
106,1306
107,1259
108,1259
109,1233
110,1240
111,1254
112,1221
113,1221
114,1222
115,1217
116,1210
117,1234
118,1190
119,1214
120,1180
121,1220
122,1204
123,1186
124,1182
125,1161
126,1179
127,1155
128,1148
129,1186
130,1172
131,1157
132,1145
133,1151
134,1146
135,1135
136,1158
137,1118
138,1133
139,1154
140,1149
141,1162
142,1152
143,1120
144,1144
145,1124
146,1140
147,1119
148,1115
149,1123
150,1111
151,1099
152,1125
153,1099
154,1101
155,1101
156,1109
157,1124
158,1127
159,1106
160,1108
161,1134
162,1129
163,1129
164,1096
165,1103
166,1144
167,1146
168,1098
169,1117
170,1105
171,1093
172,1110
173,1106
174,1100
175,1102
176,1076
177,1110
178,1112
179,1095
180,1092
181,1105
182,1114
183,1107
184,1113
185,1123
186,1100
187,1100
188,1091
189,1128
190,1099
191,1087
192,1121
193,1145
194,1121
195,1113
196,1103
197,1122
198,1116
199,1128
200,1104
201,1145
202,1132
203,1147
204,1155
205,1133
206,1158
207,1159
208,1149
209,1163
210,1166
211,1162
212,1197
213,1202
214,1203
215,1208
216,1228
217,1214
218,1240
219,1233
220,1243
221,1273
222,1312
223,1347
224,1358
225,1393
226,1432
227,1491
228,1539
229,1602
230,1674
231,1723
232,1915
233,2009
234,2188
235,2342
236,2595
237,2987
238,3436
239,4115
240,5054
241,6299
242,8027
243,10135
244,12423
245,14514
246,16077
247,16755
248,16821
249,16959
250,16508
251,16592
252,16171
253,15982
254,14987
255,13289
256,11285
257,9171
258,7344
259,5713
260,4416
261,3546
262,2995
263,2597
264,2306
265,2203
266,1926
267,1827
268,1780
269,1710
270,1633
271,1540
272,1529
273,1499
274,1486
275,1428
276,1429
277,1392
278,1369
279,1350
280,1319
281,1314
282,1289
283,1296
284,1260
285,1299
286,1242
287,1222
288,1241
289,1219
290,1189
291,1202
292,1192
293,1206
294,1201
295,1172
296,1176
297,1179
298,1180
299,1164
300,1155
301,1157
302,1145
303,1189
304,1133
305,1137
306,1148
307,1124
308,1128
309,1116
310,1136
311,1099
312,1129
313,1125
314,1113
315,1106
