Color,Corriente,Voltaje
Amarillo,7.0,0.0
Amarillo,6.0,0.1
Amarillo,5.5,0.2
Amarillo,5.0,0.3
Amarillo,4.5,0.4
Amarillo,4.0,0.5
Amarillo,3.5,0.7
Amarillo,3.0,0.9
Amarillo,2.5,1.2
Rojo,5.0,0.019
Rojo,4.5,0.042
Rojo,4.0,0.066
Rojo,3.5,0.09
Rojo,3.0,0.111
Rojo,2.5,0.146
Rojo,2.0,0.182
Rojo,1.0,0.252
Rojo,0.5,0.308
Azul,6.5,0.671
Azul,6.0,0.673
Azul,5.5,0.677
Azul,5.0,0.679
Azul,4.5,0.683
Azul,4.0,0.686
Azul,3.5,0.690
Azul,3.0,0.694
Azul,2.5,0.700
Azul,2.0,0.706
Verde,9.0,0.245
Verde,8.5,0.248
Verde,8.0,0.25
Verde,7.5,0.26
Verde,7.0,0.27
Verde,6.5,0.26
